smiles NumRings NumAromaticCarbocycles NumAromaticRings NumAliphaticRings NumAromaticHeterocycles NumHeteroatoms NumSaturatedHeterocycles NumSaturatedCarbocycles NumSaturatedRings NOCount
Cc1ccc(-c2nc(C(N)=O)c(-c3cccc(Cl)c3)n2-c2cc(Cl)ccc2C)cc1C 4 3 4 0 1 6 0 0 0 4
CS(=O)(=O)NC(=O)c1ccc(N2CCN(Cc3ccccc3-c3ccc(Cl)cc3)CC2)cc1 4 3 3 1 0 8 1 0 1 6
O=C(O)C[C@H](NC(=O)CNC(=O)c1cc(O)cc(NC2=NCCCN2)c1)c1cc(Cl)cc(Cl)c1O 3 2 2 1 0 13 0 0 0 11
O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(F)c(F)c1 3 1 1 2 0 8 1 0 1 5
COC(=O)C(Cc1ccc(O)cc1)N1C(=O)c2ccccc2C1(OCCn1c([N+](=O)[O-])cnc1C)c1ccccc1 5 3 4 1 1 11 0 0 0 11
CC[C@H](NC)C(=O)N[C@@H]1C(=O)N2[C@H](CC[C@H]2C(=O)NC(c2ccccc2)c2ccccc2)CC[C@@H]1CCNCc1ccc(F)cc1 5 3 3 2 0 9 2 0 2 8
CN(C)c1ccc(-c2cn3c(n2)CCC3)cc1CNC(=O)Cc1ccc(Cl)c(Cl)c1 4 2 3 1 1 7 0 0 0 5
C/C=C/[C@@H](CC(=O)O)NC(=O)C[C@@H](CC(C)C)NC(=O)Cc1ccc(NC(=O)Nc2ccccc2C)cc1 2 2 2 0 0 9 0 0 0 9
Cc1cn(-c2cc(CN3CCC[C@H](N)C3)cc(NC(=O)c3ccc(C)c(Oc4ccccc4)c3)c2)cn1 5 3 4 1 1 7 1 0 1 7
Cn1nc(-c2cccc(Cl)c2Cl)cc1C1CCN(C(=O)CNC(=O)[C@H](N=C(N)N)C2CCCCC2)CC1 4 1 2 2 1 11 1 1 2 9
O=C(NCc1ccc(Cl)cc1)[C@@H]1C[C@@H](O)CN1C(=O)c1ccccc1Cl 3 2 2 1 0 7 1 0 1 5
Cc1ccc(S(=O)(=O)N(CC(=O)N(Cc2ccc(C3CCCCC3)cc2)c2ccc(C(=O)O)c(O)c2)C(=O)OC(C)(C)C)cc1 4 3 3 1 0 11 0 1 1 10
